Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.started,key_response.stopped,key_response.rt,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,13.679148915980477,None,space,10.663795373984613,13.679148915980477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1445,myproject,2021.2.3,59.7668196405309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.36423433298478,None,space,2.122777373995632,24.36423433298478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1445,myproject,2021.2.3,59.7668196405309,
1,positive,energetic,p',"(0, 100, 0)",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.54444866598351,27.54774599999655,27.630792332987767,None,None,27.630792332987767,28.631501749972813,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1445,myproject,2021.2.3,59.7668196405309,
None,None,None,None,None,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.114457125018816,30.11457612499362,30.198201833001804,None,p,30.198201833001804,None,0.869786583003588,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1445,myproject,2021.2.3,59.7668196405309,
6,neutral,movement,q',"(0, 100, 0)",,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.098028915992472,32.09789274999639,32.18133437499637,None,None,32.18133437499637,33.18110699998215,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1445,myproject,2021.2.3,59.7668196405309,
3,positive,trusting,p',"(0, 100, 0)",,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.68107808299828,34.68122108298121,34.76497887499863,33.68107808299828,None,34.76497887499863,35.76516324997647,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1445,myproject,2021.2.3,59.7668196405309,
9,negative,sad,n',"(0, 100, 0)",,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.26521624997258,37.264794582966715,37.348793749988545,36.26521624997258,n,37.348793749988545,None,0.8445272069657221,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1445,myproject,2021.2.3,59.7668196405309,
8,negative,ashamed,n',"(0, 100, 0)",,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21477999998024,39.21448241599137,39.298613040999044,None,n,39.298613040999044,None,0.8665130410226993,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1445,myproject,2021.2.3,59.7668196405309,
2,positive,curious,p',"(0, 100, 0)",,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.197983582969755,41.19797620800091,41.28131929098163,None,None,41.28131929098163,42.281554999994114,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1445,myproject,2021.2.3,59.7668196405309,
10,negative,sceptical,n',"(0, 100, 0)",,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.78116900002351,43.78143662499497,43.86466287501389,42.78116900002351,None,43.86466287501389,44.864884291018825,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1445,myproject,2021.2.3,59.7668196405309,
