Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.started,key_response.stopped,key_response.rt,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.19283600000199,None,space,11.397510791022796,12.19283600000199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1508,myproject,2021.2.3,59.944042236165224,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.607847209030297,None,space,3.1736297080060467,23.607847209030297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1508,myproject,2021.2.3,59.944042236165224,
6,neutral,movement,q',"(0, 100, 0)",,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.835737916990183,27.84174800000619,27.924520209024195,None,None,27.924520209024195,28.924665125028696,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1508,myproject,2021.2.3,59.944042236165224,
8,negative,ashamed,n',"(0, 100, 0)",,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.424692167027388,30.425616750027984,30.50874533399474,None,n,30.50874533399474,None,0.9114607499795966,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1508,myproject,2021.2.3,59.944042236165224,
7,negative,busy,n',"(0, 100, 0)",,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.441376125032548,32.44101470900932,32.52506841701688,None,None,32.52506841701688,33.5249325420009,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1508,myproject,2021.2.3,59.944042236165224,
1,positive,energetic,p',"(0, 100, 0)",,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.02488295902731,35.0251236250042,35.10862120898673,34.02488295902731,None,35.10862120898673,36.10863850003807,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1508,myproject,2021.2.3,59.944042236165224,
9,negative,sad,n',"(0, 100, 0)",,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.60808720899513,37.60794083401561,37.69202437502099,36.60808720899513,n,37.69202437502099,None,0.8355937500018626,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1508,myproject,2021.2.3,59.944042236165224,
10,negative,sceptical,n',"(0, 100, 0)",,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.558494042023085,39.55863091698848,39.64190408401191,None,n,39.64190408401191,None,0.8025227909674868,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1508,myproject,2021.2.3,59.944042236165224,
3,positive,trusting,p',"(0, 100, 0)",,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.47498637501849,41.474643416993786,41.55870579200564,None,p,41.55870579200564,None,0.9336699160048738,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1508,myproject,2021.2.3,59.944042236165224,
4,neutral,blender,q',"(0, 100, 0)",,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.52486141701229,43.52490675001172,43.60828308400232,None,q,43.60828308400232,None,0.9265152490115725,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1508,myproject,2021.2.3,59.944042236165224,
