Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.started,key_response.stopped,key_response.rt,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
15,neutral,moderate,q',,"(100, 0, 0)",,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.69169337500352,195.69240554096177,195.77486741601024,None,q,195.77486741601024,None,0.8295422910014167,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
16,neutral,designating,q',,"(0, 0, 100)",,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.62567287497222,197.62522041599732,197.70919379097177,None,None,197.70919379097177,198.7086647080141,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
17,neutral,participating,q',,"(0, 100, 0)",,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.20883387495996,200.2082470000023,200.29185387498,199.20883387495996,q,200.29185387498,None,0.8933547079795972,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
18,neutral,collecting,q',,"(100, 0, 0)",,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.20876279100776,202.20905949996086,202.2928403330152,None,q,202.2928403330152,None,0.7052398329833522,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
19,neutral,telephone,q',,"(100, 0, 0)",,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.025885207986,204.02533516596304,204.10914274997776,None,q,204.10914274997776,None,0.8960833749733865,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
20,neutral,carbonate,q',,"(100, 0, 0)",,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.02578766597435,206.02615716599394,206.1095322080073,None,None,206.1095322080073,207.10964837501524,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
17,negative,grief,n',,"(0, 100, 0)",,,,,,,,,,,,,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.6095423749648,208.60945812496357,208.7092755829799,207.6095423749648,None,208.7092755829799,209.70893141598208,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
7,neutral,mapping,q',,"(0, 0, 100)",,,,,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.20886958297342,211.20911274995888,211.29239887499716,210.20886958297342,q,211.29239887499716,None,0.924958957999479,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
16,negative,embarrassed,n',,"(0, 0, 100)",,,,,,,,,,,,,,,,,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.2427070409758,213.24221499997657,213.32579137501307,None,None,213.32579137501307,214.32584624999436,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
3,neutral,geography,q',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.82544029096607,215.82561416598037,215.90912249998655,214.82544029096607,q,215.90912249998655,None,0.8962081660283729,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
