Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
20,neutral,designating,q',"(0, 100, 0)",,,,,,0,8,8,19,,,,,,,,,,,,,,,,,,,,,,,,,73.37099912500707,74.37047079199692,74.45412133302307,None,None,,74.45412133302307,75.45453862502472,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
1,positive,powerful,p',"(0, 100, 0)",,,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,75.95439620799152,76.9540890000062,77.0379162079771,75.95439620799152,p,0.7127889170078561,77.0379162079771,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
9,positive,thankful,p',"(0, 100, 0)",,,,,,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,77.771084374981,78.77076099999249,78.85433912498411,None,p,0.522107207973022,78.85433912498411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
3,positive,interested,p',"(0, 100, 0)",,,,,,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,79.40430308302166,80.40432129200781,80.4879547500168,None,p,0.5076221670024097,80.4879547500168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
13,neutral,wrapping,q',"(0, 100, 0)",,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,81.02084512502188,82.02078679198166,82.1044965829933,None,q,0.8508753749774769,82.1044965829933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
19,neutral,moderate,q',"(0, 100, 0)",,,,,,0,13,13,18,,,,,,,,,,,,,,,,,,,,,,,,,82.98743333300808,83.98751466698013,84.07128475001082,None,None,,84.07128475001082,85.07180704199709,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
2,positive,optimistic,p',"(0, 100, 0)",,,,,,0,14,14,1,,,,,,,,,,,,,,,,,,,,,,,,,85.57125616702251,86.57117462501628,86.65504220797447,85.57125616702251,p,0.5891462490544654,86.65504220797447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
4,positive,content,p',"(0, 100, 0)",,,,,,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,87.27103524998529,88.27111124998191,88.35450920800213,None,p,0.5979837490012869,88.35450920800213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
18,neutral,ceiling,q',"(0, 100, 0)",,,,,,0,16,16,17,,,,,,,,,,,,,,,,,,,,,,,,,88.97151574998861,89.97213404200738,90.05520941701252,None,q,0.7711680000065826,90.05520941701252,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
5,positive,excited,p',"(0, 100, 0)",,,,,,0,17,17,4,,,,,,,,,,,,,,,,,,,,,,,,,90.8542735420051,91.85502995800925,91.93813683302142,None,p,0.6041624580393545,91.93813683302142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
8,positive,joyful,p',"(0, 100, 0)",,,,,,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,92.5717780829873,93.57132170797559,93.65444499999285,None,p,0.4600088329752907,93.65444499999285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
15,neutral,language,q',"(0, 100, 0)",,,,,,0,19,19,14,,,,,,,,,,,,,,,,,,,,,,,,,94.1380626669852,95.13850541698048,95.22103204199811,None,None,,95.22103204199811,96.22205849998863,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
14,negative,anxious,n',"(0, 100, 0)",,,,,,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,96.73399795801379,97.73793170799036,97.82133725000313,96.73399795801379,n,0.7311068749986589,97.82133725000313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
10,neutral,letter,q',"(0, 100, 0)",,,,,,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,98.57156808301806,99.5710225829971,99.6547947920044,None,q,0.8175144160049967,99.6547947920044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
20,negative,jealous,n',"(0, 100, 0)",,,,,,,,,,0,2,2,19,,,,,,,,,,,,,,,,,,,,,100.50546908302931,101.504875292012,101.58872945798794,None,n,0.6375781249953434,101.58872945798794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
15,negative,bored,n',"(0, 100, 0)",,,,,,,,,,0,3,3,14,,,,,,,,,,,,,,,,,,,,,102.25477150001097,103.25537262501894,103.33861054200679,None,n,0.8018551669665612,103.33861054200679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
19,negative,helpless,n',"(0, 100, 0)",,,,,,,,,,0,4,4,18,,,,,,,,,,,,,,,,,,,,,104.1718694579904,105.17196054197848,105.2558129579993,None,n,0.8035415419726633,105.2558129579993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
13,negative,lonely,n',"(0, 100, 0)",,,,,,,,,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,106.08822237502318,107.08864974998869,107.17259370797547,None,n,0.8229307910078205,107.17259370797547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
2,neutral,syllabus,q',"(0, 100, 0)",,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,108.0219677920104,109.02177350001875,109.10583070799476,None,q,0.8476461669779383,109.10583070799476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
8,neutral,monotone,q',"(0, 100, 0)",,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,109.97180829197168,110.97195529198507,111.05515562498476,None,None,,111.05515562498476,112.05528987501748,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
1,neutral,design,q',"(0, 100, 0)",,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,112.55601495801238,113.55541862500831,113.6383622920257,112.55601495801238,q,0.7763750409940258,113.6383622920257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
6,neutral,joining,q',"(0, 100, 0)",,,,,,,,,,0,9,9,5,,,,,,,,,,,,,,,,,,,,,114.43849070800934,115.43860333302291,115.52211449999595,None,None,,115.52211449999595,116.52189675002592,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
16,negative,vulnerable,n',"(0, 100, 0)",,,,,,,,,,0,10,10,15,,,,,,,,,,,,,,,,,,,,,117.02195958298398,118.02196491701761,118.105422542023,117.02195958298398,n,0.8453648330178112,118.105422542023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
4,neutral,window,q',"(0, 100, 0)",,,,,,,,,,0,11,11,3,,,,,,,,,,,,,,,,,,,,,118.97177779197227,119.97254191699903,120.05608454201138,None,None,,120.05608454201138,121.05592312500812,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
5,neutral,stone,q',"(0, 100, 0)",,,,,,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,121.55615479202243,122.55557420797413,122.63877112499904,121.55615479202243,q,0.5758064169785939,122.63877112499904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
18,negative,scared,n',"(0, 100, 0)",,,,,,,,,,0,13,13,17,,,,,,,,,,,,,,,,,,,,,123.23883020802168,124.23873004200868,124.32240912498673,None,n,0.800210666959174,124.32240912498673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
12,negative,hurt,n',"(0, 100, 0)",,,,,,,,,,0,14,14,11,,,,,,,,,,,,,,,,,,,,,125.15575233299751,126.1562833749922,126.23890291701537,None,n,0.6836994159966707,126.23890291701537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
11,negative,depressed,n',"(0, 100, 0)",,,,,,,,,,0,15,15,10,,,,,,,,,,,,,,,,,,,,,126.95579487498617,127.95585458300775,128.03974816697882,None,n,0.613145750015974,128.03974816697882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
3,neutral,geography,q',"(0, 100, 0)",,,,,,,,,,0,16,16,2,,,,,,,,,,,,,,,,,,,,,128.67253370798426,129.67300533299567,129.75627491698833,None,q,0.8926265419577248,129.75627491698833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
9,neutral,formula,q',"(0, 100, 0)",,,,,,,,,,0,17,17,8,,,,,,,,,,,,,,,,,,,,,130.67271237500245,131.6732652920182,131.75679445802234,None,q,0.6111853750189766,131.75679445802234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
7,neutral,running,q',"(0, 100, 0)",,,,,,,,,,0,18,18,6,,,,,,,,,,,,,,,,,,,,,132.38930224999785,133.38916704198346,133.47252358298283,None,None,,133.47252358298283,134.47323391702957,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
17,negative,guilty,n',"(0, 100, 0)",,,,,,,,,,0,19,19,16,,,,,,,,,,,,,,,,,,,,,134.97275308298413,135.97275262500625,136.05586733302334,134.97275308298413,n,0.6811285000294447,136.05586733302334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
21,negative,vulnerable,n',"(0, 100, 0)",,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,136.75633879197994,137.75631775002694,137.83965816698037,None,None,,137.83965816698037,138.83990550000453,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.33977204200346,None,space,2.0559978329692967,139.33977204200346,None,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
