Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
16,neutral,designating,q',,"(0, 0, 100)",,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.07352137501584,169.07338304200675,169.15700504201232,None,q,169.15700504201232,None,0.6473387500154786,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
17,neutral,participating,q',,"(0, 100, 0)",,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.82410929200705,170.82384004199412,170.90696066699456,None,p,170.90696066699456,None,0.6381795830093324,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
18,neutral,collecting,q',,"(100, 0, 0)",,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.57383187499363,172.57390787499025,172.65740362502402,None,q,172.65740362502402,None,0.7506996659794822,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
19,neutral,telephone,q',,"(100, 0, 0)",,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.44085349998204,174.44036595802754,174.5238553750096,None,q,174.5238553750096,None,0.6503154159872793,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
20,neutral,carbonate,q',,"(100, 0, 0)",,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.20722433301853,176.20711174997268,176.29087845800677,None,q,176.29087845800677,None,0.6255332499858923,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
6,neutral,style,q',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.95651491702301,177.9570564579917,178.04126379202353,None,q,178.04126379202353,None,0.580970624985639,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
2,neutral,syllabus,q',,"(0, 100, 0)",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.64069183298852,179.64090991701232,179.7236371670151,None,q,179.7236371670151,None,0.7478890829952434,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
13,negative,stressed,n',,"(0, 0, 100)",,,,,,,,,,,,,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.49091462499928,181.49058941699332,181.5739636250073,None,n,181.5739636250073,None,0.662604957993608,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
9,neutral,photo,q',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.25773862499045,183.2581866250257,183.34063329198398,None,q,183.34063329198398,None,0.6066834999946877,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
20,negative,fearful,n',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,4,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.9740843329928,184.97477641701698,185.05788720800774,None,n,185.05788720800774,None,0.6295941239804961,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
12,negative,annoyed,n',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.7074677500059,186.70776587497676,186.79051395802526,None,n,186.79051395802526,None,0.6470813329797238,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
11,negative,critical,n',,"(0, 100, 0)",,,,,,,,,,,,,,,,,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.4577661670046,188.45753166702343,188.54079712502426,None,p,188.54079712502426,None,0.8325573329930194,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
17,negative,grief,n',,"(0, 100, 0)",,,,,,,,,,,,,,,,,0,7,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.39095358300256,190.39059558301233,190.47445833298843,None,n,190.47445833298843,None,0.6658733740332536,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
3,neutral,geography,q',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.1580687080277,192.15796791698085,192.24130200000945,None,n,192.24130200000945,None,0.6252757079782896,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
15,negative,hostile,n',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.8909166670055,193.89088025002275,193.9749912500265,None,None,193.9749912500265,194.97472654201556,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
8,neutral,seventeen,q',,"(0, 100, 0)",,,,,,,,,,,,,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.47435029200278,196.47429133299738,196.55763649998698,195.47435029200278,q,196.55763649998698,None,0.8357881249976344,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
19,negative,tired,n',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,11,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.42471824999666,198.4250937079778,198.5081636250252,None,n,198.5081636250252,None,0.7382567910244688,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
4,neutral,vegetable,q',,"(0, 0, 100)",,,,,,,,,,,,,,,,,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.27461687498726,200.27449187502498,200.3583575420198,None,q,200.3583575420198,None,0.7413646659697406,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
16,negative,embarrassed,n',,"(0, 0, 100)",,,,,,,,,,,,,,,,,0,13,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.12446141702821,202.1246328750276,202.20860920799896,None,n,202.20860920799896,None,0.8659193749772385,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
1,neutral,design,q',,"(0, 0, 100)",,,,,,,,,,,,,,,,,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.10761354200076,204.10782037500758,204.1913085830165,None,q,204.1913085830165,None,0.5511117909918539,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
7,neutral,mapping,q',,"(0, 0, 100)",,,,,,,,,,,,,,,,,0,15,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.77487216697773,205.77423612499842,205.8577839169884,None,q,205.8577839169884,None,0.5939283330226317,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
14,negative,guilty,n',,"(0, 100, 0)",,,,,,,,,,,,,,,,,0,16,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.4745784170227,207.47454645799007,207.55790891702054,None,n,207.55790891702054,None,0.6940228749881499,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
10,neutral,editing,q',,"(0, 0, 100)",,,,,,,,,,,,,,,,,0,17,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.274467249983,209.2747204999905,209.35885633301223,None,q,209.35885633301223,None,0.6269959579803981,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
18,negative,victimised,n',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,18,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.00840216700453,211.00862354197307,211.09195854200516,None,None,211.09195854200516,212.09190820797812,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
5,neutral,glasses,q',,"(0, 100, 0)",,,,,,,,,,,,,,,,,0,19,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.59171233302914,213.5916996669839,213.67530158301815,212.59171233302914,q,213.67530158301815,None,0.7153455420047976,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.40908695798134,None,space,3.3655453749815933,214.40908695798134,None,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
