Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.started,key_response.stopped,key_response.rt,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.495960167027079,None,space,23.046048582997173,12.495960167027079,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.572562958986964,None,space,2.344194124045316,35.572562958986964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
5,neutral,participating,q',"(0, 100, 0)",,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.98061679198872,38.99020920897601,39.05688599997666,None,None,39.05688599997666,40.05694425001275,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
3,positive,trusting,p',"(0, 100, 0)",,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.55643825000152,41.55723820900312,41.640002667030785,None,None,41.640002667030785,42.640212500002235,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
9,negative,sad,n',"(0, 100, 0)",,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.13993170898175,44.14056587498635,44.22344383399468,43.13993170898175,n,44.22344383399468,None,0.7602648329921067,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
6,neutral,movement,q',"(0, 100, 0)",,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.006294708990026,46.006758917006664,46.089684000005946,None,None,46.089684000005946,47.09032929199748,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
7,negative,busy,n',"(0, 100, 0)",,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.59083812497556,48.58969308400992,48.67386954202084,47.59083812497556,None,48.67386954202084,49.67356387502514,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
10,negative,sceptical,n',"(0, 100, 0)",,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.17311754199909,51.17303250002442,51.256841583992355,50.17311754199909,None,51.256841583992355,52.25757379201241,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
8,negative,ashamed,n',"(0, 100, 0)",,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.75714787503239,53.756703833991196,53.84015395899769,52.75714787503239,None,53.84015395899769,54.84027729200898,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
1,positive,energetic,p',"(0, 100, 0)",,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.34123391698813,56.34077058400726,56.423806709004566,55.34123391698813,p,56.423806709004566,None,0.8589539580279961,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
2,positive,curious,p',"(0, 100, 0)",,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.307474291999824,58.3074925839901,58.390622584032826,None,None,58.390622584032826,59.390982209006324,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
None,None,None,None,None,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.89028433401836,60.89052737498423,60.974100375024136,59.89028433401836,None,60.974100375024136,61.97414683399256,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
4,neutral,blender,q',"(0, 100, 0)",,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.47369129199069,63.47399116697488,63.55778008402558,62.47369129199069,None,63.55778008402558,64.55750637501478,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.05724925000686,None,space,1.6014127079979517,65.05724925000686,None,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
2,positive,optimistic,p',"(0, 100, 0)",,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,66.70323591702618,67.70745487499516,67.79074804199627,None,p,67.79074804199627,None,0.7069923320086673,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
4,positive,content,p',"(0, 100, 0)",,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,68.52418033400318,69.52440958400257,69.60746816702886,None,None,69.60746816702886,70.60714233398903,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
13,neutral,wrapping,q',"(0, 100, 0)",,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,71.10752437502379,72.1071476250072,72.19065624999348,71.10752437502379,n,72.19065624999348,None,0.8402098740334623,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
8,positive,joyful,p',"(0, 100, 0)",,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,73.05784020898864,74.0582299589878,74.14109749998897,None,p,74.14109749998897,None,0.5897005409933627,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
10,positive,successful,p',"(0, 100, 0)",,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,74.75748420902528,75.75713820901001,75.84138195897685,None,p,75.84138195897685,None,0.8016683739842847,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
12,neutral,imaging,q',"(0, 100, 0)",,,,,,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,76.67434570897603,77.67389912501676,77.75785566697596,None,q,77.75785566697596,None,0.7801363739999942,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
6,positive,intimate,p',"(0, 100, 0)",,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,78.55857766699046,79.57430616702186,79.64103737502592,None,None,79.64103737502592,80.64091883401852,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
3,positive,interested,p',"(0, 100, 0)",,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,81.14124933403218,82.14109716698295,82.22456800000509,81.14124933403218,p,82.22456800000509,None,0.6964640409569256,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
9,positive,thankful,p',"(0, 100, 0)",,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,82.94118283397984,83.94099937501596,84.02444800001103,None,p,84.02444800001103,None,0.48443220800254494,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
16,neutral,condition,q',"(0, 100, 0)",,,,,,0,9,9,15,,,,,,,,,,,,,,,,,,,,,,,,,84.54098049999448,85.54081333399517,85.62492775003193,None,n,85.62492775003193,None,0.8023014580248855,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
1,positive,powerful,p',"(0, 100, 0)",,,,,,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,86.45799312501913,87.45788508397527,87.54138433397748,None,p,87.54138433397748,None,0.8014715000172146,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
20,neutral,designating,q',"(0, 100, 0)",,,,,,0,11,11,19,,,,,,,,,,,,,,,,,,,,,,,,,88.37485054199351,89.37471233401448,89.45798970898613,None,q,89.45798970898613,None,0.9368891239864752,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
7,positive,loving,p',"(0, 100, 0)",,,,,,0,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,90.42445962497732,91.4246382919955,91.50814770901343,None,p,91.50814770901343,None,0.638868415961042,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
5,positive,excited,p',"(0, 100, 0)",,,,,,0,13,13,4,,,,,,,,,,,,,,,,,,,,,,,,,92.1743621249916,93.17451787501341,93.25771149998764,None,p,93.25771149998764,None,0.774357707996387,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
14,neutral,sentense,q',"(0, 100, 0)",,,,,,0,14,14,13,,,,,,,,,,,,,,,,,,,,,,,,,94.05816670903005,95.05814962502336,95.14188254199689,None,None,95.14188254199689,96.1417548339814,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
15,neutral,language,q',"(0, 100, 0)",,,,,,0,15,15,14,,,,,,,,,,,,,,,,,,,,,,,,,96.6419860420283,97.64150241698371,97.72565145901171,96.6419860420283,None,97.72565145901171,98.72544983401895,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
17,neutral,numbers,q',"(0, 100, 0)",,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,99.2418832089752,100.24132404202828,100.32472008402692,99.2418832089752,q,100.32472008402692,None,0.6306246659951285,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
18,neutral,ceiling,q',"(0, 100, 0)",,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,100.97517879202496,101.97489158401731,102.05842620902695,None,p,102.05842620902695,None,0.6758924569585361,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
11,neutral,sweter,q',"(0, 100, 0)",,,,,,0,18,18,10,,,,,,,,,,,,,,,,,,,,,,,,,102.7582011250197,103.75830525002675,103.84209920902504,None,q,103.84209920902504,None,0.5022121659712866,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
19,neutral,moderate,q',"(0, 100, 0)",,,,,,0,19,19,18,,,,,,,,,,,,,,,,,,,,,,,,,104.374755249999,105.37489508400904,105.45835187501507,None,None,105.45835187501507,106.45820291701239,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
12,negative,hurt,n',"(0, 100, 0)",,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,106.9714160420117,107.97569783398649,108.05846704199212,106.9714160420117,n,108.05846704199212,None,0.8817604160285555,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
9,neutral,formula,q',"(0, 100, 0)",,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,108.95874308398925,109.9584856670117,110.0418642500299,None,q,110.0418642500299,None,0.7964636239921674,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
7,neutral,running,q',"(0, 100, 0)",,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,110.85883024998475,111.85861233400647,111.9419063340174,None,None,111.9419063340174,112.94185391702922,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
19,negative,helpless,n',"(0, 100, 0)",,,,,,,,,,0,3,3,18,,,,,,,,,,,,,,,,,,,,,113.44144395901822,114.44179062498733,114.52571512502618,113.44144395901822,None,114.52571512502618,115.52581554203061,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
10,neutral,letter,q',"(0, 100, 0)",,,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,116.02510000002803,117.02518829202745,117.10858479200397,116.02510000002803,None,117.10858479200397,118.10912366700359,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
5,neutral,stone,q',"(0, 100, 0)",,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,118.60893250000663,119.60849941702327,119.69205983402207,118.60893250000663,p,119.69205983402207,None,0.8924557910067961,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
14,negative,anxious,n',"(0, 100, 0)",,,,,,,,,,0,6,6,13,,,,,,,,,,,,,,,,,,,,,120.60867391701322,121.60855183401145,121.69213654199848,None,n,121.69213654199848,None,0.8381670410162769,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
16,negative,vulnerable,n',"(0, 100, 0)",,,,,,,,,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,122.55872087500757,123.55931024998426,123.64216679200763,None,None,123.64216679200763,124.64253341697622,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1449,myproject,2021.2.3,59.93506035603695,
